Licensee,City,State,Call,Frequency,Channel,Non-Directional?,Class,Status,File Number,Effective Radiated Power (Horizontal),Effective Radiated Power (Vertical),Antenna Height Above Average Terrain (Horizontal),Antenna Height Above Average Terrain (Vertical),Facility ID,lat_d,lat_deg,lat_min,lat_sec,lng_d,lng_deg,lng_min,lng_sec,Antenna Height Above Mean Sea Level (Horizontal),Antenna Height Above Mean Sea Level (Vertical),Antenna ID #,Pattern Rotation,ASRN,Antenna Height Above Ground Level,CDBS ID #
"HOUSTON CHRISTIAN BROADCASTERS, INC.                                        ",PORT O'CONNOR            ,TX ,KHPO        ,91.9  MHz ,220,ND  ,A  ,LIC    ,BLED   -20070613AAU ,4.     kW ,4.     kW ,94,94,92737,N ,28,25,44,W ,96,26,54,94.    m,94.0   m,-         ,-       ,1059403,92.    m,1269478
"KNZA, INC.                                                                  ",SENECA                   ,KS ,KMZA        ,92.1  MHz ,221,ND  ,A  ,LIC    ,BLH    -19990405KA  ,4.     kW ,4.     kW ,123,123,35287,N ,39,49,34,W ,96,1,45,500.   m,500.0  m,-         ,-       ,1057822,119.   m,283568
"MIDWEST COMMUNICATIONS, INC.                                                ",ST. JOHNS                ,MI ,WQTX        ,92.1  MHz ,221,ND  ,A  ,LIC    ,BLH    -20120119ACV ,4.     kW ,4.     kW ,122,122,72121,N ,42,53,30,W ,84,34,31,362.   m,362.0  m,-         ,-       ,1007212,118.   m,1480481
HJV LIMITED PARTNERSHIP                                                     ,MERCERSBURG              ,PA ,WNUZ        ,92.1  MHz ,221,ND  ,A  ,LIC    ,BLH    -19960412KB  ,4.     kW ,4.     kW ,90,90,39495,N ,39,48,34,W ,77,48,22,290.   m,290.0  m,-         ,-       ,-       ,105.   m,223490
KROL COMMUNICATIONS INC.                                                    ,ASHLEY                   ,MI ,WJSZ        ,92.5  MHz ,223,DA  ,A  ,LIC    ,BLH    -20101130ANC ,4.     kW ,4.     kW ,122,122,51080,N ,43,10,56,W ,84,27,3,330.   m,330.0  m,86138,0,1007196,129.   m,1408700
"AGM CALIFORNIA, INC.                                                        ",SHAFTER                  ,CA ,KKXX-FM     ,93.1  MHz ,226,ND  ,A  ,LIC    ,BLH    -20031113AHZ ,4.     kW ,4.     kW ,123,123,35953,N ,35,28,21,W ,119,1,40,331.   m,331.0  m,-         ,-       ,1014966,63.    m,700534
"WPAT LICENSING, INC.                                                        ",PATERSON                 ,NJ ,WPAT-FM     ,93.1  MHz ,226,ND  ,B  ,APP    ,BSTA   -20040325AIC ,4.     kW ,4.     kW ,415,415,51663,N ,40,44,54,W ,73,59,10,429.   m,429.0  m,-         ,-       ,1007048,413.   m,987568
"RADIO TRAINING NETWORK, INC.                                                ",WADLEY                   ,GA ,WZAE        ,93.3  MHz ,227,ND  ,A  ,LIC    ,BLED   -20100701AUC ,4.     kW ,4.     kW ,43.9,43.9,170969,N ,32,50,55,W ,82,24,10,127.4  m,127.4  m,-         ,-       ,1056040,57.9   m,1383432
"KONA COAST RADIO, LLC                                                       ",JAMES TOWN               ,WY ,KREO        ,93.5  MHz ,228,ND  ,C2 ,CP     ,BNPH   -20120529ALM ,4.     kW ,4.     kW ,272,272,190387,N ,41,33,30,W ,109,21,50,2323.  m,2323.0 m,-         ,-       ,1009227,60.    m,1507687
ADELANTE MEDIA OF CALIFORNIA LICENSE LLC                                    ,MODESTO                  ,CA ,KBBU        ,93.9  MHz ,230,DA  ,A  ,LIC    ,BLH    -20040512AAU ,4.     kW ,4.     kW ,123,123,43335,N ,37,39,0,W ,121,1,24,147.   m,147.0  m,65861,0,1035104,123.   m,992683
"AMFM BROADCASTING LICENSES, LLC                                             ",CHICAGO                  ,IL ,WLIT-FM     ,93.9  MHz ,230,ND  ,B  ,LIC    ,BMLH   -20140908AEF ,4.     kW ,4.     kW ,482,482,70042,N ,41,52,44,W ,87,38,8,663.   m,663.0  m,-         ,-       ,1032960,482.   m,1649692
"TAYLOR UNIVERSITY BROADCASTING, INC.                                        ",BRONSON                  ,MI ,WCVM        ,94.7  MHz ,234,ND  ,A  ,LIC    ,BMLED  -20141020ABJ ,4.     kW ,4.     kW ,123,123,41670,N ,41,44,30,W ,85,14,32,409.   m,409.0  m,-         ,-       ,1015363,119.   m,1654743
"ZOE COMMUNICATIONS, INC.                                                    ",BALDWIN                  ,WI ,WDMO        ,95.7  MHz ,239,DA  ,A  ,LIC    ,BLH    -20120117AEA ,4.     kW ,4.     kW ,124,124,65632,N ,44,56,33,W ,92,24,59,464.   m,464.0  m,89773,0,1052909,87.    m,1485624
THE SENTINEL PUBLISHING CO.                                                 ,POINT PLEASANT           ,NJ ,WRAT        ,95.9  MHz ,240,ND  ,A  ,LIC    ,BMLH   -20050128AIM ,4.     kW ,4.     kW ,73,73,59530,N ,40,10,15,W ,74,1,42,90.    m,90.0   m,-         ,-       ,1059624,85.    m,1044019
DMC BROADCASTING INC.                                                       ,TAOS                     ,NM ,KKIT        ,95.9  MHz ,240,ND  ,A  ,LIC    ,BLH    -20051024AAD ,4.     kW ,4.     kW ,-192,-192,164164,N ,36,23,22,W ,105,35,9,2145.  m,2145.0 m,-         ,-       ,-       ,34.    m,1115410
"RADIO PLUS, INC.                                                            ",RIPON                    ,WI ,WTCX        ,96.1  MHz ,241,DA  ,A  ,LIC    ,BLH    -19950420KB  ,4.     kW ,4.     kW ,123,123,54510,N ,43,49,10,W ,88,43,20,400.   m,400.0  m,14102,0,-       ,111.   m,208309
MINNESOTA VALLEY BROADCASTING CO.                                           ,NORTH MANKATO            ,MN ,KDOG        ,96.7  MHz ,244,ND  ,C3 ,LIC    ,BLH    -19930920KC  ,4.     kW ,4.     kW ,198,198,42993,N ,44,13,20,W ,94,7,3,483.   m,483.0  m,-         ,-       ,-       ,180.   m,190063
"WLME, INC.                                                                  ",WHITESVILLE              ,KY ,WXCM        ,97.1  MHz ,246,DA  ,A  ,LIC    ,BLH    -19991112ABS ,4.     kW ,4.     kW ,123,123,73214,N ,37,41,50,W ,86,59,28,260.   m,260.0  m,15929,0,1057131,95.    m,421968
RADIO LICENSE HOLDING SRC LLC                                               ,LOS ALTOS                ,CA ,KFFG        ,97.7  MHz ,249,ND  ,A  ,LIC    ,BLH    -20111114BMQ ,4.     kW ,4.     kW ,125,125,58843,N ,37,18,27,W ,122,5,41,403.   m,403.0  m,-         ,-       ,-       ,13.    m,1461088
"MERLIN MEDIA LICENSE, LLC                                                   ",CHICAGO                  ,IL ,WLUP-FM     ,97.9  MHz ,250,ND  ,B  ,LIC    ,BMLH   -20110629BQR ,4.     kW ,4.     kW ,425,425,73233,N ,41,53,56,W ,87,37,23,606.   m,606.0  m,-         ,-       ,1009012,425.   m,1433108
"FLAGLER BROADCASTING, LLC                                                   ",PALM COAST               ,FL ,WAKX        ,98.7  MHz ,254,ND  ,A  ,LIC    ,BLH    -20120723AFR ,4.     kW ,4.     kW ,99,99,183339,N ,29,32,7,W ,81,15,50,104.   m,104.0  m,-         ,-       ,1031726,95.    m,1508866
REGINA KAY MOORE                                                            ,JONESVILLE               ,VA ,WJNV        ,99.1  MHz ,256,ND  ,A  ,LIC    ,BLH    -20000703ADH ,4.     kW ,4.     kW ,123,123,78986,N ,36,42,5,W ,83,10,14,637.   m,637.0  m,-         ,-       ,-       ,46.    m,505869
"RADIO LICENSE HOLDING CBC, LLC                                              ",STOCKTON                 ,CA ,KJOY        ,99.3  MHz ,257,DA  ,A  ,LIC    ,BLH    -20000509AAA ,4.     kW ,4.     kW ,98,98,32215,N ,37,59,30,W ,121,17,17,130.   m,130.0  m,30698,0,1016801,124.   m,497350
"SOUTH TEXAS BROADCASTING, INC.                                              ",LITTLE ROCK              ,AR ,KDIS-FM     ,99.5  MHz ,258,ND  ,A  ,CP     ,BPH    -20140306AHZ ,4.     kW ,4.     kW ,124,124,47309,N ,34,46,11,W ,92,20,24,231.   m,231.0  m,-         ,-       ,-       ,56.    m,1628096
ROBINSON ENTERTAINMENT LLC                                                  ,LAKE PARK                ,FL ,WLML-FM     ,100.3 MHz ,262,ND  ,A  ,LIC    ,BLH    -20140228AGS ,4.     kW ,4.     kW ,115,115,191525,N ,26,45,42,W ,80,4,42,118.   m,118.0  m,-         ,-       ,1031315,113.   m,1621291
"SWICK BROADCASTING COMPANY, INC.                                            ",ANGOLA                   ,IN ,WLKI        ,100.3 MHz ,262,ND  ,A  ,LIC    ,BLH    -19920429KA  ,4.     kW ,4.     kW ,120,120,36273,N ,41,40,51,W ,85,0,5,428.   m,428.0  m,-         ,-       ,-       ,87.    m,172989
-                                                                           ,TORONTO                  ,ON ,CHINFM      ,100.7 MHz ,264,ND  ,B  ,OPER   ,-      --           ,4.     kW ,4.     kW ,421,421,94826,N ,43,38,33,W ,79,23,15,0.     m,0.0    m,-         ,-       ,-       ,0.     m,290288
ROBERT R. RULE                                                              ,PINEDALE                 ,WY ,KPIN        ,101.1 MHz ,266,ND  ,C3 ,LIC    ,BLH    -20140527AIZ ,4.     kW ,4.     kW ,145,145,77275,N ,42,50,39,W ,109,55,23,2358.  m,2358.0 m,-         ,-       ,-       ,11.4   m,1638970
LB SPORTS PRODUCTIONS LLC                                                   ,VIRGINIA                 ,IL ,WVIL        ,101.3 MHz ,267,ND  ,A  ,LIC    ,BLH    -19980204KB  ,4.     kW ,4.     kW ,119,119,40222,N ,40,0,52,W ,90,19,55,272.   m,272.0  m,-         ,-       ,1023490,68.    m,262027
EDUCATIONAL MEDIA FOUNDATION                                                ,WESTPORT                 ,WA ,KLWA        ,101.3 MHz ,267,ND  ,A  ,LIC    ,BLED   -20130509ACV ,4.     kW ,4.     kW ,49,49,164150,N ,46,53,4,W ,124,0,44,81.    m,81.0   m,-         ,-       ,1214859,61.    m,1554263
"SOUND COMMUNICATIONS, LLC                                                   ",OLEAN                    ,NY ,WMXO        ,101.5 MHz ,268,ND  ,A  ,LIC    ,BMLH   -20051104AAT ,4.     kW ,4.     kW ,123,123,19710,N ,42,6,18,W ,78,23,25,650.   m,650.0  m,-         ,-       ,1047880,57.    m,1068016
EDUCATIONAL MEDIA FOUNDATION                                                ,BROWNSBURG               ,IN ,WKLU        ,101.9 MHz ,270,ND  ,A  ,LIC    ,BMLED  -20090812AAP ,4.     kW ,4.     kW ,110,110,54289,N ,39,47,13,W ,86,17,57,345.   m,345.0  m,-         ,-       ,1245484,107.   m,1326298
"GEORGE S. FLINN,                                                            ",SARDIS                   ,MS ,KBUD        ,102.1 MHz ,271,ND  ,A  ,LIC    ,BLH    -20031201ABT ,4.     kW ,4.     kW ,123,123,89397,N ,34,22,33,W ,89,45,52,218.   m,218.0  m,-         ,-       ,1230705,102.   m,706906
MBM RADIO UVALDE LLC                                                        ,UVALDE                   ,TX ,KUVA        ,102.3 MHz ,272,ND  ,A  ,LIC    ,BLH    -19970219KA  ,4.     kW ,4.     kW ,66,66,43438,N ,29,11,16,W ,99,46,36,342.   m,342.0  m,-         ,-       ,-       ,68.    m,241540
EDUCATIONAL MEDIA FOUNDATION                                                ,WARNER ROBINS            ,GA ,WZCH        ,102.5 MHz ,273,ND  ,A  ,LIC    ,BMLED  -20111024ABE ,4.     kW ,4.     kW ,100,100,29129,N ,32,34,20,W ,83,40,13,206.   m,206.0  m,-         ,-       ,1028112,81.    m,1450413
CHOICE RADIO CENTRAL CORPORATION                                            ,SPRINGFIELD              ,KY ,WOKH        ,102.7 MHz ,274,ND  ,A  ,LIC    ,BLH    -20030501ABI ,4.     kW ,4.     kW ,108,108,71010,N ,37,41,43,W ,85,19,6,327.   m,327.0  m,-         ,-       ,1063301,69.    m,620488
"WHITE EAGLE BROADCASTING, INC.                                              ",LA CRESCENT              ,MN ,KQEG        ,102.7 MHz ,274,ND  ,C3 ,LIC    ,BLH    -20091217ABR ,4.     kW ,4.     kW ,214,214,72206,N ,43,43,17,W ,91,17,24,475.   m,475.0  m,-         ,-       ,-       ,146.   m,1318641
"WASK, INC.                                                                  ",DELPHI                   ,IN ,WXXB        ,102.9 MHz ,275,ND  ,A  ,LIC    ,BLH    -20141001ALB ,4.     kW ,4.     kW ,125,125,72676,N ,40,30,12,W ,86,43,47,323.   m,323.0  m,-         ,-       ,1274427,123.   m,1651680
"SOMAR COMMUNICATIONS, INC.                                                  ",CALIFORNIA               ,MD ,WKIK-FM     ,102.9 MHz ,275,ND  ,A  ,LIC    ,BLH    -19941212KC  ,4.     kW ,4.     kW ,120,120,60777,N ,38,22,3,W ,76,36,55,140.   m,140.0  m,-         ,-       ,-       ,110.   m,204770
JANET JENSEN                                                                ,LA CENTER                ,KY ,WRJJ        ,104.3 MHz ,282,ND  ,A  ,LIC    ,BLH    -20081006AIW ,4.     kW ,4.     kW ,38,38,164199,N ,37,4,30,W ,88,58,22,150.   m,150.0  m,-         ,-       ,-       ,37.    m,1269537
WAGONWHEEL COMMUNICATIONS CORPORATION                                       ,DANIEL                   ,WY ,KFZE        ,104.3 MHz ,282,ND  ,C3 ,LIC    ,BLH    -20090722AAK ,4.     kW ,4.     kW ,127,127,166004,N ,42,50,39,W ,109,55,28,2352.  m,2352.0 m,-         ,-       ,-       ,13.    m,1564188
"MID-WAY RADIO, INC.                                                         ",BELVIDERE                ,IL ,WXRX        ,104.9 MHz ,285,ND  ,A  ,LIC    ,BMLH   -20051222ABS ,4.     kW ,4.     kW ,122,122,672,N ,42,19,21,W ,88,57,14,373.   m,373.0  m,-         ,-       ,1009074,94.    m,1088901
DMC BROADCASTING INC.                                                       ,TAOS                     ,NM ,KTRZ        ,105.5 MHz ,288,ND  ,A  ,CP     ,BNPH   -20130724AGH ,4.     kW ,4.     kW ,-192,-192,191510,N ,36,23,22,W ,105,35,9,2145.  m,2145.0 m,-         ,-       ,-       ,34.    m,1592188
GALAXY SYRACUSE LICENSEE LLC (NEW)                                          ,OSWEGO                   ,NY ,WTKV        ,105.5 MHz ,288,ND  ,A  ,LIC    ,BLH    -19970819KC  ,4.     kW ,4.     kW ,121,121,24131,N ,43,24,56,W ,76,27,54,235.   m,235.0  m,-         ,-       ,1028674,128.   m,252263
GALAXY SYRACUSE LICENSEE LLC (NEW)                                          ,MINETTO                  ,NY ,WTKV        ,105.5 MHz ,288,ND  ,A  ,CP     ,BPH    -20130708ACD ,4.     kW ,4.     kW ,121,121,24131,N ,43,24,56,W ,76,27,54,235.   m,235.0  m,-         ,-       ,1028674,128.   m,1559923
"HUBCAST BROADCASTING, INC.                                                  ",BERWICK                  ,LA ,KBZE        ,105.9 MHz ,290,ND  ,A  ,LIC    ,BMLH   -19950608KD  ,4.     kW ,4.     kW ,123,123,40580,N ,29,45,27,W ,91,10,25,123.   m,123.0  m,-         ,-       ,-       ,123.   m,210229
"RADIO LICENSE HOLDING CBC, LLC                                              ",SYRACUSE                 ,NY ,WXTL        ,105.9 MHz ,290,ND  ,A  ,LIC    ,BLH    -19971007KC  ,4.     kW ,4.     kW ,61,61,58719,N ,43,3,30,W ,76,10,0,232.   m,232.0  m,-         ,-       ,1007737,118.   m,255233
GREAT SCOTT BROADCASTING                                                    ,POCOMOKE CITY            ,MD ,WXSH        ,106.1 MHz ,291,ND  ,A  ,LIC    ,BLH    -20090612AAL ,4.     kW ,4.     kW ,104,104,67576,N ,38,4,36,W ,75,32,18,109.   m,109.0  m,-         ,-       ,1037388,105.   m,1315923
"MAPLETON LICENSE OF MERCED, LLC                                             ",MERCED                   ,CA ,KGAM        ,106.3 MHz ,292,DA  ,A  ,LIC    ,BLH    -20041116AEG ,4.     kW ,4.     kW ,123,123,15099,N ,37,25,35,W ,120,26,25,214.   m,214.0  m,67779,0,1021991,79.    m,1027274
BROADCAST EXECUTIVES CORPORATION                                            ,GLENNVILLE               ,GA ,WOAH        ,106.3 MHz ,292,DA  ,A  ,LIC    ,BLH    -20040326ABL ,4.     kW ,4.     kW ,121,121,64632,N ,31,51,18,W ,81,44,28,143.   m,143.0  m,44968,0,1020442,119.   m,988870
"SILVER STAR COMMUNICATIONS, INC.                                            ",FOUR CORNERS             ,MT ,KSCY        ,106.9 MHz ,295,ND  ,C3 ,LIC    ,BLH    -20080305AEA ,4.     kW ,4.     kW ,197,197,164231,N ,45,38,20,W ,111,15,56,1757.  m,1757.0 m,-         ,-       ,-       ,30.    m,1236159
"INGSTAD BROTHERS BROADCASTING, LLC                                          ",SLEEPY EYE               ,MN ,KNUJ-FM     ,107.3 MHz ,297,ND  ,A  ,LIC    ,BLH    -20060109ABA ,4.     kW ,4.     kW ,124,124,77674,N ,44,19,38,W ,94,43,41,427.   m,427.0  m,-         ,-       ,1024127,116.   m,1106332
PRAISE 107.5 FM RADIO LLC                                                   ,COCHRAN                  ,GA ,WYPZ        ,107.5 MHz ,298,DA  ,A  ,LIC    ,BLH    -20100120ACT ,4.     kW ,4.     kW ,122.3,122.3,26626,N ,32,32,36,W ,83,27,55,218.8  m,218.8  m,93923,0,1243345,112.7  m,1353419
"DAVIS MEDIA, LLC                                                            ",WEST POINT               ,VA ,WBQK        ,107.9 MHz ,300,ND  ,A  ,LIC    ,BLH    -20050726ANA ,4.     kW ,4.     kW ,100,100,73906,N ,37,27,0,W ,76,48,46,119.   m,119.0  m,-         ,-       ,1036845,93.    m,1075093
"ROARING FORK PUBLIC RADIO, INC.                                             ",CARBONDALE               ,CO ,KCJX        ,88.9  MHz ,205,DA  ,C1 ,LIC    ,BLED   -20040907AAD ,4.     kW ,3.5    kW ,775,775,85785,N ,39,25,8,W ,107,22,10,3227.  m,3227.0 m,64864,0,-       ,41.    m,1026540
-                                                                           ,LEAMINGTON               ,ON ,CJSP        ,92.7  MHz ,224,DA  ,B1 ,OPER   ,-      -20070228CAN ,4.     kW ,3.4    kW ,144.5,144.5,170738,N ,42,0,35,W ,82,33,45,324.   m,324.0  m,78290,0,-       ,0.     m,1176280
"RADIO MARIA, INC.                                                           ",LAKE CHARLES             ,LA ,KOJO        ,91.1  MHz ,216,DA  ,C3 ,LIC    ,BLED   -20040820AAJ ,4.     kW ,14.    kW ,118,118,39891,N ,30,12,7,W ,92,56,47,123.   m,123.0  m,68411,0,1015162,118.   m,1007892
RADIO 74 INTERNATIONALE                                                     ,RIDGECREST               ,CA ,KRSF        ,89.3  MHz ,207,DA  ,B  ,LIC    ,BLED   -20110405AAW ,4.     kW ,0.     kW ,451,0,175757,N ,35,53,52.6,W ,117,17,18.3,1230.  m,0.0    m,104393,0,-       ,25.    m,1422966
NORTHWEST INDY RADIO                                                        ,WESTPORT                 ,WA ,KCFL        ,91.1  MHz ,216,ND  ,A  ,LIC    ,BLED   -20120813AAX ,4.     kW ,0.     kW ,26,0,174954,N ,47,0,35,W ,124,9,9,33.    m,0.0    m,-         ,-       ,-       ,33.    m,1511477
-                                                                           ,SABINAS                  ,CI ,XHECFM      ,91.9  MHz ,220,ND  ,B  ,OPER   ,-      --           ,4.     kW ,0.     kW ,31,0,94656,N ,27,50,46,W ,101,7,30,0.     m,0.0    m,-         ,-       ,-       ,0.     m,289838
-                                                                           ,TORONTO                  ,ON ,CIEZFM      ,97.3  MHz ,247,ND  ,B  ,OPER   ,-      --           ,4.     kW ,0.     kW ,421,0,95573,N ,43,38,33,W ,79,23,15,0.     m,0.0    m,-         ,-       ,-       ,0.     m,295484
"HIGHER CALLING COMMUNICATIONS, INC.                                         ",HUDSON                   ,WY ,KTUG        ,105.1 MHz ,286,ND  ,C2 ,LIC    ,BLH    -20140721AED ,4.     kW ,0.     kW ,391,0,166002,N ,42,34,42,W ,108,42,46,2758.  m,0.0    m,-         ,-       ,-       ,10.    m,1643230
-                                                                           ,MONT-JOLI                ,QC ,NEW         ,106.7 MHz ,294,ND  ,B  ,PROPN  ,-      --           ,4.     kW ,0.     kW ,90,0,96479,N ,48,34,20,W ,68,13,2,0.     m,0.0    m,-         ,-       ,-       ,0.     m,299863
"MCC RADIO, LLC                                                              ",YUCCA VALLEY             ,CA ,KDGL        ,106.9 MHz ,295,ND  ,B  ,LIC    ,BMLH   -20021028AAA ,4.     kW ,0.     kW ,418,0,14058,N ,34,4,55,W ,116,20,32,1554.  m,0.0    m,-         ,-       ,1224260,64.    m,616232
-                                                                           ,MONTERREY                ,NL ,XHAWFM      ,101.3 MHz ,267,ND  ,B  ,OPER   ,-      --           ,39.5   kW ,0.     kW ,-95,0,95497,N ,25,39,11,W ,100,19,29,0.     m,0.0    m,-         ,-       ,-       ,0.     m,293771
"HAWAII PUBLIC RADIO, INC.                                                   ",HONOLULU                 ,HI ,KHPR        ,88.1  MHz ,201,DA  ,C0 ,LIC    ,BLED   -20111216AAR ,39.    kW ,39.    kW ,514,514,26446,N ,21,20,12,W ,157,49,3,622.   m,622.0  m,92996,0,-       ,28.    m,1480489
TEMPLE BROADCASTING COMPANY                                                 ,MADISONVILLE             ,KY ,WSOF-FM     ,89.9  MHz ,210,ND  ,C2 ,LIC    ,BLED   -19920304KA  ,39.    kW ,39.    kW ,86,86,39596,N ,37,21,26,W ,87,28,41,220.   m,220.0  m,-         ,-       ,-       ,81.    m,171301
RIVERVIEW BAPTIST CHRISTIAN SCHOOLS                                         ,PASCO                    ,WA ,KOLU        ,90.1  MHz ,211,ND  ,C1 ,CP     ,BPED   -20111129CLD ,39.    kW ,39.    kW ,305,305,56615,N ,46,4,59,W ,119,9,38,648.   m,648.0  m,-         ,-       ,-       ,43.    m,1478363
EDUCATIONAL MEDIA FOUNDATION                                                ,FAIRMEAD                 ,CA ,KLVY        ,91.1  MHz ,216,ND  ,B  ,LIC    ,BLED   -20100401AHV ,39.    kW ,39.    kW ,170,170,18854,N ,37,7,40,W ,119,40,39,621.   m,621.0  m,-         ,-       ,-       ,41.    m,1361940
UNIVERSITY OF SOUTHERN CALIFORNIA                                           ,LOS ANGELES              ,CA ,KUSC        ,91.5  MHz ,218,DA  ,B  ,LIC    ,BLED   -20000404ABH ,39.    kW ,39.    kW ,891,891,69318,N ,34,12,48,W ,118,3,41,1689.  m,1689.0 m,14746,0,-       ,30.    m,495926
